[LOG] System::create                           : Header version = 2.00.07. Current version = 2.00.07.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20007 (107206), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 00000241D6C67A38 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] SoundI::release                          :  (000002421916BA78)
[LOG] SoundI::release                          :     IceBreakingLong_1 (0000024219113608)
[LOG] SoundI::release                          :  (0000024219165FE8)
[LOG] SoundI::release                          :     IceBreakingLong_2 (000002421910EE88)
[LOG] SoundI::release                          :  (00000242191676E8)
[LOG] SoundI::release                          :     Woosh_1 (000002421910F028)
[LOG] SoundI::release                          :  (0000024219165D08)
[LOG] SoundI::release                          :     Woosh_3 (0000024219111588)
[LOG] SoundI::release                          :  (0000024219129CD8)
[LOG] SoundI::release                          :     Woosh_4 (0000024219113128)
[LOG] SoundI::release                          :  (00000242191686B8)
[LOG] SoundI::release                          :     Woosh_5 (0000024219113FC8)
[LOG] SoundI::release                          :  (000002421916BBE8)
[LOG] SoundI::release                          :     Woosh_6 (0000024219111DA8)
[LOG] SoundI::release                          :  (000002421916C038)
[LOG] SoundI::release                          :     DoorChime1 (000002421910FB88)
[LOG] SoundI::release                          :  (0000024219167408)
[LOG] SoundI::release                          :     Portal_1 (00000242191103A8)
[LOG] SoundI::release                          :  (0000024219166158)
[LOG] SoundI::release                          :     RopeTwist_2 (0000024219111248)
[LOG] SoundI::release                          :  (00000242191658B8)
[LOG] SoundI::release                          :     RopeTwist_3 (0000024219113E28)
[LOG] SoundI::release                          :  (000002421916C768)
[LOG] SoundI::release                          :     RopeTwist_4 (0000024219112908)
[LOG] SoundI::release                          :  (000002421916B798)
[LOG] SoundI::release                          :     Drag_Concrete (0000024219110F08)
[LOG] SoundI::release                          :  (000002421D20AC68)
[LOG] SoundI::release                          :     Footsteps_Dirt_1 (0000024219183CC8)
[LOG] SoundI::release                          :  (000002421D20B508)
[LOG] SoundI::release                          :     Footsteps_Dirt_10 (000002421890F858)
[LOG] SoundI::release                          :  (000002421D2078A8)
[LOG] SoundI::release                          :     Footsteps_Dirt_11 (000002421890DCB8)
[LOG] SoundI::release                          :  (000002421912BC78)
[LOG] SoundI::release                          :     Footsteps_Dirt_12 (00000242191159C8)
[LOG] SoundI::release                          :  (000002414B66D368)
[LOG] SoundI::release                          :     Footsteps_Dirt_2 (0000024218910F18)
[LOG] SoundI::release                          :  (000002421D207FD8)
[LOG] SoundI::release                          :     Footsteps_Dirt_3 (0000024218911598)
[LOG] SoundI::release                          :  (000002421912BDE8)
[LOG] SoundI::release                          :     Footsteps_Dirt_4 (0000024219114E68)
[LOG] SoundI::release                          :  (0000024218A6B918)
[LOG] SoundI::release                          :     Footsteps_Dirt_5 (000002421890B758)
[LOG] SoundI::release                          :  (0000024219129158)
[LOG] SoundI::release                          :     Footsteps_Dirt_6 (000002421890BDD8)
[LOG] SoundI::release                          :  (000002421D2068D8)
[LOG] SoundI::release                          :     Footsteps_Dirt_7 (000002421890DE58)
[LOG] SoundI::release                          :  (000002421D208B58)
[LOG] SoundI::release                          :     Footsteps_Dirt_8 (000002421890F038)
[LOG] SoundI::release                          :  (000002421D207178)
[LOG] SoundI::release                          :     Footsteps_Dirt_9 (0000024219183308)
[LOG] SoundI::release                          :  (000002421912B548)
[LOG] SoundI::release                          :     Footsteps_Grass_1.0_L (0000024219115688)
[LOG] SoundI::release                          :  (0000024218A6E5A8)
[LOG] SoundI::release                          :     Footsteps_Grass_1.0_R (000002421890F1D8)
[LOG] SoundI::release                          :  (000002421D209E08)
[LOG] SoundI::release                          :     Footsteps_Grass_1.1_L (000002421890D7D8)
[LOG] SoundI::release                          :  (0000024219128FE8)
[LOG] SoundI::release                          :     Footsteps_Grass_1.1_R (00000242191147E8)
[LOG] SoundI::release                          :  (000002421D20B228)
[LOG] SoundI::release                          :     Footsteps_Grass_1.2_L (0000024219182608)
[LOG] SoundI::release                          :  (0000024219128468)
[LOG] SoundI::release                          :     Footsteps_Grass_1.2_R (00000242191137A8)
[LOG] SoundI::release                          :  (0000023FA85B94C8)
[LOG] SoundI::release                          :     Footsteps_Grass_1.3_L (000002421890F378)
[LOG] SoundI::release                          :  (0000024218A6CA58)
[LOG] SoundI::release                          :     Footsteps_Grass_1.3_R (0000024218910BD8)
[LOG] SoundI::release                          :  (000002421912B6B8)
[LOG] SoundI::release                          :     Footsteps_Wood_1 (00000242191144A8)
[LOG] SoundI::release                          :  (00000242191295A8)
[LOG] SoundI::release                          :     Footsteps_Wood_10 (000002421890B278)
[LOG] SoundI::release                          :  (000002421D206488)
[LOG] SoundI::release                          :     Footsteps_Wood_11 (0000024219183E68)
[LOG] SoundI::release                          :  (0000023FCB10E3D8)
[LOG] SoundI::release                          :     Footsteps_Wood_12 (000002421890B8F8)
[LOG] SoundI::release                          :  (000002421D20A6A8)
[LOG] SoundI::release                          :     Footsteps_Wood_2 (000002421890CE18)
[LOG] SoundI::release                          :  (0000024219128E78)
[LOG] SoundI::release                          :     Footsteps_Wood_3 (0000024219113948)
[LOG] SoundI::release                          :  (0000024219129718)
[LOG] SoundI::release                          :     Footsteps_Wood_4 (00000242191151A8)
[LOG] SoundI::release                          :  (00000242191282F8)
[LOG] SoundI::release                          :     Footsteps_Wood_5 (000002421890BC38)
[LOG] SoundI::release                          :  (000002421D206D28)
[LOG] SoundI::release                          :     Footsteps_Wood_6 (000002421890BF78)
[LOG] SoundI::release                          :  (000002421D206BB8)
[LOG] SoundI::release                          :     Footsteps_Wood_7 (0000024219181AA8)
[LOG] SoundI::release                          :  (00000242191292C8)
[LOG] SoundI::release                          :     Footsteps_Wood_8 (0000024219114B28)
[LOG] SoundI::release                          :  (000002421D20A258)
[LOG] SoundI::release                          :     Footsteps_Wood_9 (000002421890C118)
[LOG] SoundI::release                          :  (000002421D20A988)
[LOG] SoundI::release                          :     IceBreakCrack1 (000002421890AD98)
[LOG] SoundI::release                          :  (000002421916BEC8)
[LOG] SoundI::release                          :     IceBreakCrack3 (00000242191118C8)
[LOG] SoundI::release                          :  (00000241B3D92518)
[LOG] SoundI::release                          :     IceBreakCrack2 - Trimmed (000002421890C798)
[LOG] SoundI::release                          :  (0000024219129B68)
[LOG] SoundI::release                          :     IceBreakCrack2 - Trimmed (2) (0000024219113AE8)
[LOG] SoundI::release                          :  (0000024219128D08)
[LOG] SoundI::release                          :     IceBreakCrack4 - Trimmed (000002421890D2F8)
[LOG] SoundI::release                          :  (0000024218A6E158)
[LOG] SoundI::release                          :     IceBreakCrack5 - Trimmed (000002421890E4D8)
[LOG] SoundI::release                          :  (000002421D2099B8)
[LOG] SoundI::release                          :     FootstepsLeaves_1 (00000242189110B8)
[LOG] SoundI::release                          :  (0000024219128748)
[LOG] SoundI::release                          :     FootstepsLeaves_2 (000002421890E9B8)
[LOG] SoundI::release                          :  (000002421912A6E8)
[LOG] SoundI::release                          :     FootstepsLeaves_3 (0000024219114308)
[LOG] SoundI::release                          :  (000002421912BF58)
[LOG] SoundI::release                          :     FootstepsLeaves_4 (0000024219115828)
[LOG] SoundI::release                          :  (0000023FA85B8F08)
[LOG] SoundI::release                          :     FootstepsLeaves_5 (000002421890DB18)
[LOG] SoundI::release                          :  (0000024218A6B358)
[LOG] SoundI::release                          :     FootstepsLeaves_6 (000002421890ECF8)
[LOG] SoundI::release                          :  (000002421912AF88)
[LOG] SoundI::release                          :     FootstepsLeaves_7 (0000024219115EA8)
[LOG] SoundI::release                          :  (000002421D2089E8)
[LOG] SoundI::release                          :     Footsteps_Water_1 (000002421890D638)
[LOG] SoundI::release                          :  (000002421D2075C8)
[LOG] SoundI::release                          :     Footsteps_Water_10 (000002421890CC78)
[LOG] SoundI::release                          :  (000002421912BB08)
[LOG] SoundI::release                          :     Footsteps_Water_2 (0000024219113468)
[LOG] SoundI::release                          :  (000002421D208428)
[LOG] SoundI::release                          :     Footsteps_Water_3 (000002421890D158)
[LOG] SoundI::release                          :  (000002421D2072E8)
[LOG] SoundI::release                          :     Footsteps_Water_4 (0000024219181F88)
[LOG] SoundI::release                          :  (000002421912B3D8)
[LOG] SoundI::release                          :     Footsteps_Water_5 (0000024219115D08)
[LOG] SoundI::release                          :  (000002421D208598)
[LOG] SoundI::release                          :     Footsteps_Water_6 (0000024218911A78)
[LOG] SoundI::release                          :  (000002421D207008)
[LOG] SoundI::release                          :     Footsteps_Water_7 (000002421890D498)
[LOG] SoundI::release                          :  (000002421D209F78)
[LOG] SoundI::release                          :     Footsteps_Water_8 (000002421890D978)
[LOG] SoundI::release                          :  (000002421D206E98)
[LOG] SoundI::release                          :     Footsteps_Water_9 (000002421890DFF8)
[LOG] SoundI::release                          :  (000002421D20B0B8)
[LOG] SoundI::release                          :     Thud_3 (0000024219183988)
[LOG] SoundI::release                          :  (00000242191285D8)
[LOG] SoundI::release                          :     Thud_4 (0000024218910558)
[LOG] SoundI::release                          :  (000002421D2065F8)
[LOG] SoundI::release                          :     Footsteps_Stone_1 (0000024218912438)
[LOG] SoundI::release                          :  (0000024219128A28)
[LOG] SoundI::release                          :     Footsteps_Stone_10 (000002421890B5B8)
[LOG] SoundI::release                          :  (000002421D20B958)
[LOG] SoundI::release                          :     Footsteps_Stone_2 (0000024218912778)
[LOG] SoundI::release                          :  (000002421D20A3C8)
[LOG] SoundI::release                          :     Footsteps_Stone_3 (00000242189113F8)
[LOG] SoundI::release                          :  (0000024219129888)
[LOG] SoundI::release                          :     Footsteps_Stone_4 (000002421890CAD8)
[LOG] SoundI::release                          :  (0000024218A6C048)
[LOG] SoundI::release                          :     Footsteps_Stone_5 (0000024218910A38)
[LOG] SoundI::release                          :  (0000023FA85B9078)
[LOG] SoundI::release                          :     Footsteps_Stone_6 (000002421890F518)
[LOG] SoundI::release                          :  (000002421912A9C8)
[LOG] SoundI::release                          :     Footsteps_Stone_7 (00000242191154E8)
[LOG] SoundI::release                          :  (000002421912B828)
[LOG] SoundI::release                          :     Footsteps_Stone_8 (0000024219114988)
[LOG] SoundI::release                          :  (000002421D207A18)
[LOG] SoundI::release                          :     Footsteps_Stone_9 (000002421890E678)
[LOG] SoundI::release                          :  (0000024219129E48)
[LOG] SoundI::release                          :     Footsteps_Ice_1 (0000024219115B68)
[LOG] SoundI::release                          :  (0000024219128188)
[LOG] SoundI::release                          :     Footsteps_Ice_2 (0000024219115008)
[LOG] SoundI::release                          :  (000002421D209568)
[LOG] SoundI::release                          :     Footsteps_Ice_3 (0000024219183B28)
[LOG] SoundI::release                          :  (000002421D20A818)
[LOG] SoundI::release                          :     Footsteps_Ice_4 (0000024218911F58)
[LOG] SoundI::release                          :  (000002421D206A48)
[LOG] SoundI::release                          :     Footsteps_Ice_5 (0000024219182948)
[LOG] SoundI::release                          :  (000002421912A128)
[LOG] SoundI::release                          :     Footsteps_Ice_6 (000002421910E668)
[LOG] SoundI::release                          :  (0000024219166718)
[LOG] SoundI::release                          :     IceFreeze1 (00000241B3C4DF28)
[LOG] SoundI::release                          :  (0000024219168998)
[LOG] SoundI::release                          :     IceFreeze2 (000002421910EB48)
[LOG] SoundI::release                          :  (000002421916AD88)
[LOG] SoundI::release                          :     IceFreeze3 (0000024219111A68)
[LOG] SoundI::release                          :  (0000024219165E78)
[LOG] SoundI::release                          :     IceFreeze4 (00000241B3C4D228)
[LOG] SoundI::release                          :  (000002421D207B88)
[LOG] SoundI::release                          :     Footsteps_Snow_1 (0000024218911C18)
[LOG] SoundI::release                          :  (0000024219128B98)
[LOG] SoundI::release                          :     Footsteps_Snow_2 (000002421890F9F8)
[LOG] SoundI::release                          :  (000002421D207E68)
[LOG] SoundI::release                          :     Footsteps_Snow_3 (000002421890EE98)
[LOG] SoundI::release                          :  (00000242191299F8)
[LOG] SoundI::release                          :     Footsteps_Snow_4 (000002421890B418)
[LOG] SoundI::release                          :  (000002421D209118)
[LOG] SoundI::release                          :     Footsteps_Snow_5 (0000024219183648)
[LOG] SoundI::release                          :  (00000241B3D91998)
[LOG] SoundI::release                          :     Footsteps_Snow_6 (0000024218910D78)
[LOG] SoundI::release                          :  (0000024218A6DFE8)
[LOG] SoundI::release                          :     Footsteps_Snow_7 (0000024218910898)
[LOG] SoundI::release                          :  (0000024219129438)
[LOG] SoundI::release                          :     Footsteps_Snow_8 (000002421890B0D8)
[LOG] SoundI::release                          :  (000002421912B268)
[LOG] SoundI::release                          :     Footsteps_Snow_9 (0000024219115348)
[LOG] SoundI::release                          :  (000002421D20B398)
[LOG] SoundI::release                          :     BassDrumHard (0000024219180728)
[LOG] SoundI::release                          :  (000002421D20ADD8)
[LOG] SoundI::release                          :     BassDrumSoft (0000024219184008)
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
